1: Original w/ default SA


10/18/2018 17:27:34.554   ADDR: 0x   DATA: 0x   [ARB: 111, TRX Error (01)]

// handler_ext_int_wakeup()
10/18/2018 17:30:07.174   ADDR: 0xAA   DATA: 0x00000001   [ARB: 000, EOM, No ACK]

// operation_init()
10/18/2018 17:30:07.175   ADDR: 0x00   DATA: 0x24   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.177   ADDR: 0x00   DATA: 0x101A0054   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.180   ADDR: 0x00   DATA: 0x25   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.182   ADDR: 0x00   DATA: 0x10230015   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.185   ADDR: 0x00   DATA: 0x23   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.186   ADDR: 0x00   DATA: 0x100F0053   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.190   ADDR: 0x00   DATA: 0x26   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.192   ADDR: 0x00   DATA: 0x10170096   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.195   ADDR: 0x00   DATA: 0x27   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.197   ADDR: 0x00   DATA: 0x10130027   [ARB: 100, EOM, ACK]

// 	pmu_set_clk_init() (line 1138)
//		pmu_setting_temp_based()
10/18/2018 17:30:07.201   ADDR: 0xB7   DATA: 0x00000002   [ARB: 000, EOM, No ACK]
--> pmu_setting_state = 0x2 (PMU_25C)

// 			pmu_set_active_clk()
10/18/2018 17:30:07.203   ADDR: 0x60   DATA: 0x1600C490   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.204   ADDR: 0x10   DATA: 0x0000C490   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.208   ADDR: 0x60   DATA: 0x1600C490   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.210   ADDR: 0x10   DATA: 0x0000C490   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.214   ADDR: 0x60   DATA: 0x1800C410   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.215   ADDR: 0x10   DATA: 0x0000C410   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.219   ADDR: 0x60   DATA: 0x1A000410   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.221   ADDR: 0x10   DATA: 0x00000410   [ARB: 000, EOM, ACK]

//			pmu_set_sleep_clk()
10/18/2018 17:30:07.225   ADDR: 0x60   DATA: 0x1700C221   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.227   ADDR: 0x10   DATA: 0x0000C221   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.232   ADDR: 0x60   DATA: 0x1500C221   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.233   ADDR: 0x10   DATA: 0x0000C221   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.237   ADDR: 0x60   DATA: 0x19000221   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.238   ADDR: 0x10   DATA: 0x00000221   [ARB: 000, EOM, ACK]

//		mbus_remote_register_write (line 485)
10/18/2018 17:30:07.243   ADDR: 0x60   DATA: 0x0500082F   [ARB: 000, EOM, ACK]
10/18/2018 17:30:07.244   ADDR: 0x10   DATA: 0x0000082F   [ARB: 000, EOM, ACK]
//		mbus_remote_register_write (line 496)
10/18/2018 17:30:07.250   ADDR: 0x60   DATA: 0x05002AAF   [ARB: 000, EOM, ACK]
